Total CHCs,7-T,n-C23 ,Treat,,,,,,,,,,,,
2040.988143,450.783,473.263,CK,,,,,,,,,,,,
2332.500251,522.345773,513.3060674,CK,,,,,,,,,,,,
2195.427678,548.3141225,493.9954206,CK,,,,,,,,,,,,
2179.276945,427.8455608,432.700482,CK,,,,,,,,,,,,
2237.304485,483.0659825,508.3712011,CK,,,,,,,,,,,,
3021.487936,827.1877135,456.9617718,Elav,,,,,,,,,,,,
3328.598059,847.1259899,452.4364084,Elav,,,,,,,,,,,,
2524.365666,758.956237,383.5123531,Elav,,,,,,,,,,,,
3123.019485,894.0440459,468.3882934,Elav,,,,,,,,,,,,
2676.476497,680.4292131,390.0609892,Elav,,,,,,,,,,,,
257.3658157,16.13361612,67.85175996,VDRC,,,,,,,,,,,,
233.2657627,17.27606602,70.18800973,VDRC,,,,,,,,,,,,
179.6331691,12.22512652,52.72312167,VDRC,,,,,,,,,,,,
166.1128253,11.48374653,57.19301743,VDRC,,,,,,,,,,,,
224.6725651,13.25795681,62.06889904,VDRC,,,,,,,,,,,,
