Total CHCs,"7,11-HD","7,11-ND",Treat
3826.429214,547.2745507,285.1813509,CK
3653.984251,662.7062669,329.3425597,CK
3950.095148,699.0559299,416.6194855,CK
3744.422451,668.4968104,345.383923,CK
2559.932472,432.1258673,145.5941622,VDRC
2529.585959,418.0409309,163.1148327,VDRC
2418.48017,408.7028298,159.3116523,VDRC
2106.79094,350.4442901,131.8216532,VDRC
1838.311446,316.9076713,128.6933824,VDRC
1642.507907,380.4353241,80.08602056,Hnf4
1298.974493,251.3623496,60.47537508,Hnf4
1243.427708,245.0234481,64.19628707,Hnf4
