Total CHCs,7-T,"7,11-HD",Treat
2040.988143,450.783,115.888,CK
2332.500251,522.345773,129.0548163,CK
2195.427678,548.3141225,154.0542437,CK
2179.276945,427.8455608,134.5360204,CK
2237.304485,483.0659825,131.7657121,CK
257.3658157,16.13361612,44.36934444,VDRC
233.2657627,17.27606602,37.51101638,VDRC
179.6331691,12.22512652,32.18137781,VDRC
166.1128253,11.48374653,34.22152517,VDRC
2970.443343,316.3889776,252.372122,DSX
2813.448079,304.1866389,277.0853468,DSX
2466.676615,287.3580077,206.0285282,DSX
2804.740916,272.0882123,246.8787479,DSX
