Total CHCs,"7,11-HD",7-T,Treat
3826.429214,547.2745507,20.25631585,CK
3653.984251,662.7062669,32.18913659,CK
3950.095148,699.0559299,38.49523816,CK
3744.422451,668.4968104,32.75294794,CK
2559.932472,432.1258673,10.72948482,VDRC
2529.585959,418.0409309,11.67924805,VDRC
2418.48017,408.7028298,10.39792047,VDRC
2106.79094,350.4442901,5.91746999,VDRC
1838.311446,316.9076713,8.056607579,VDRC
2632.733087,424.8971786,218.5883813,DSX
3756.357962,603.9959398,363.1183765,DSX
2958.298797,504.9108519,238.9135678,DSX
2907.470151,447.5870096,247.0048729,DSX
