fig3. male,Total CHCs,7-T,n-C23 
cs,2040.988143,450.783,473.263
cs,2332.500251,522.345773,513.3060674
cs,2195.427678,548.3141225,493.9954206
cs,2179.276945,427.8455608,432.700482
cs,2237.304485,483.0659825,508.3712011
vdrc,257.3658157,16.13361612,67.85175996
vdrc,233.2657627,17.27606602,70.18800973
vdrc,179.6331691,12.22512652,52.72312167
vdrc,166.1128253,11.48374653,57.19301743
vdrc,224.6725651,13.25795681,62.06889904
hnf,124.2688333,1.734378994,55.61635282
hnf,104.7265601,2.177763982,48.34101573
hnf,136.2688333,2.734378994,61.06775424
Res,1357.417362,485.0915053,124.8547298
Res,1333.891253,502.9619079,133.4678118
Res,1691.020377,440.5474523,142.8519928
Res,1292.561663,534.664966,157.3580775
