fig3. female,Total CHCs,"7,11-HD","7,11-ND"
cs,3826.429214,547.2745507,285.1813509
cs,3653.984251,662.7062669,329.3425597
cs,3950.095148,699.0559299,416.6194855
cs,3744.422451,668.4968104,345.383923
vdrc,2559.932472,432.1258673,145.5941622
vdrc,2529.585959,418.0409309,163.1148327
vdrc,2418.48017,408.7028298,159.3116523
vdrc,2106.79094,350.4442901,131.8216532
vdrc,1838.311446,316.9076713,128.6933824
hnf,1642.507907,380.4353241,80.08602056
hnf,1298.974493,251.3623496,60.47537508
hnf,1243.427708,245.0234481,64.19628707
Res,3196.453233,691.1801816,709.0718437
Res,2619.023018,510.2085633,661.0029418
Res,2617.281497,581.9771431,639.4273296
Res,3800.265171,721.780204,798.6194729
