"","diff","lwr","upr","p.adj","Stars","X1","X2","variable","x1","x2","y"
"hnf-cs",-2398.76273,-3195.72791055991,-1601.79754944009,6.21006535617141e-06,"****","hnf","cs","Total.CHCs",0.8875,0.6625,3997.92678185253
"vdrc-cs",-1503.1125686,-2203.09510866127,-803.130028538731,0.000179258901547796,"***","vdrc","cs","Total.CHCs",1.3375,0.6625,4076.31750306532
"Res-hnf",1663.28569375,866.320513190093,2460.25087430991,0.000233568652655114,"***","Res","hnf","Total.CHCs",1.1125,0.8875,4154.70822427812
"vdrc-hnf",895.650161400001,133.605693841159,1657.69462895884,0.0201653300146817,"*","vdrc","hnf","Total.CHCs",1.3375,0.8875,4233.09894549091
"vdrc-Res",-767.63553235,-1467.61807241127,-67.6529922887311,0.0303589679745752,"*","vdrc","Res","Total.CHCs",1.3375,1.1125,4311.48966670371
"hnf-cs1",-352.109682208333,-517.042806293057,-187.17655812361,0.000189293108190269,"***","hnf","cs","X7.11.HD",1.8875,1.6625,802.601779634483
"vdrc-cs1",-259.139071595,-404.00149463832,-114.27664855168,0.000917800116525425,"***","vdrc","cs","X7.11.HD",2.3375,1.6625,880.992500847278
"Res-hnf1",334.012815733333,169.07969164861,498.945939818057,0.000307726374310868,"***","Res","hnf","X7.11.HD",2.1125,1.8875,959.383222060072
"vdrc-Res1",-241.04220512,-385.90462816332,-96.1797820766801,0.00167699088936102,"**","vdrc","Res","X7.11.HD",2.3375,2.1125,1037.77394327287
"hnf-cs2",-275.879268871667,-379.623061401688,-172.135476341646,2.22733228529837e-05,"****","hnf","cs","X7.11.ND",2.8875,2.6625,851.088007401725
"Res-cs2",357.898567225,261.850478874073,453.946655575927,6.27301642741607e-07,"****","Res","cs","X7.11.ND",3.1125,2.6625,929.47872861452
"vdrc-cs2",-198.424693215,-289.543910443204,-107.305475986796,0.00015720549367948,"***","vdrc","cs","X7.11.ND",3.3375,2.6625,1007.86944982731
"Res-hnf2",633.777836096667,530.034043566646,737.521628626688,2.53564014229823e-09,"****","Res","hnf","X7.11.ND",3.1125,2.8875,1086.26017104011
"vdrc-Res2",-556.32326044,-647.442477668204,-465.204043211796,2.55204013477339e-09,"****","vdrc","Res","X7.11.ND",3.3375,3.1125,1164.6508922529
